Sprite Room,Monster Room,Same Room,Neighbor Room,Distance,State,Eats
0,5,0,0,398.127,Move to random point,0
0,5,0,0,476.395,Move to random point,0
0,2,0,1,206.449,Move to random point,0
0,2,0,1,131.165,Move to random point,0
0,2,0,1,374.318,Move to random point,0
0,2,0,1,344.686,Change Room,0
6,4,0,0,418.529,Move to random point,0
6,4,0,0,266.38,Change Room,0
5,5,1,0,124.767,Seek,0
5,5,1,0,96.6018,Seek,0
5,5,1,0,39.5526,Seek,0
5,5,1,0,12.9812,Reset,1
0,5,0,0,398.117,Move to random point,0
0,5,0,0,395.979,Move to random point,0
0,5,0,0,497.585,Move to random point,0
0,2,0,1,232.091,Move to random point,0
0,2,0,1,398.023,Move to random point,0
0,2,0,1,305.987,Move to random point,0
0,2,0,1,224.512,Change Room,0
6,4,0,0,465.891,Move to random point,0
5,4,0,0,267.011,Change Room,0
2,5,0,1,224.72,Move to random point,0
1,2,0,1,135.073,Move to random point,0
1,2,0,1,183.334,Move to random point,0
1,2,0,1,63.2009,Change Room,0
6,6,1,0,86.4556,Seek,0
6,6,1,0,11.3558,Reset,1
0,5,0,0,398.162,Move to random point,0
0,5,0,0,486.673,Move to random point,0
0,2,0,1,236.248,Move to random point,0
0,2,0,1,340.857,Move to random point,0
0,2,0,1,435.14,Move to random point,0
0,2,0,1,239.665,Change Room,0
4,4,1,0,181.327,Seek,0
5,5,1,0,19.4625,Seek,0
0,5,0,0,398.066,Move to random point,0
0,2,0,1,185.265,Move to random point,0
0,2,0,1,159.339,Move to random point,0
0,2,0,1,300.799,Move to random point,0
0,2,0,1,157.708,Move to random point,0
0,2,0,1,252.778,Change Room,0
5,4,0,0,215.141,Move to random point,0
2,4,0,0,370.465,Move to random point,0
2,4,0,0,424.828,Change Room,0
2,2,1,0,45.892,Seek,0
2,2,1,0,29.8042,Seek,0
2,2,1,0,9.94972,Reset,1
0,5,0,0,398.113,Move to random point,0
0,2,0,1,428.385,Move to random point,0
0,2,0,1,283.264,Move to random point,0
0,2,0,1,384.22,Move to random point,0
0,2,0,1,190.86,Move to random point,0
0,2,0,1,174.801,Move to random point,0
2,2,1,0,278.04,Seek,0
0,5,0,0,398.098,Move to random point,0
0,5,0,0,360.025,Move to random point,0
0,5,0,0,438.729,Move to random point,0
0,3,0,0,296.923,Move to random point,0
0,3,0,0,288.211,Change Room,0
2,4,0,0,286.311,Move to random point,0
2,4,0,0,275.57,Move to random point,0
2,4,0,0,292.763,Change Room,0
5,4,0,0,16.6186,Move to random point,0
6,4,0,0,436.968,Move to random point,0
6,4,0,0,416.601,Move to random point,0
6,4,0,0,420.882,Move to random point,0
6,4,0,0,435.486,Move to random point,0
6,4,0,0,439.484,Change Room,0
1,6,0,0,428.392,Move to random point,0
1,6,0,0,553.798,Move to random point,0
1,6,0,0,556.099,Move to random point,0
1,6,0,0,512.181,Move to random point,0
2,6,0,0,477.983,Change Room,0
3,2,0,1,81.3898,Move to random point,0
3,2,0,1,209.5,Move to random point,0
3,2,0,1,276.332,Change Room,0
2,2,1,0,161.951,Seek,0
0,5,0,0,398.074,Move to random point,0
0,5,0,0,345.892,Move to random point,0
0,2,0,1,426.436,Move to random point,0
0,2,0,1,434.339,Move to random point,0
0,2,0,1,443.941,Move to random point,0
0,2,0,1,443.974,Move to random point,0
0,2,0,1,321.218,Move to random point,0
0,2,0,1,331.556,Move to random point,0
0,2,0,1,281.746,Change Room,0
1,4,0,0,434.275,Move to random point,0
1,4,0,0,354.611,Move to random point,0
1,4,0,0,593.834,Change Room,0
2,2,1,0,152.626,Seek,0
2,2,1,0,12.1322,Reset,1
0,5,0,0,398.214,Move to random point,0
0,2,0,1,324.105,Move to random point,0
0,2,0,1,369.354,Move to random point,0
0,2,0,1,424.835,Move to random point,0
0,2,0,1,238.442,Move to random point,0
0,2,0,1,209.693,Move to random point,0
0,2,0,1,191.481,Change Room,0
4,4,1,0,204.337,Seek,0
0,5,0,0,398.289,Move to random point,0
0,5,0,0,358.482,Move to random point,0
0,2,0,1,300.292,Move to random point,0
0,2,0,1,223.899,Move to random point,0
0,2,0,1,179.996,Move to random point,0
0,2,0,1,281.045,Move to random point,0
2,2,1,0,307.512,Seek,0
0,5,0,0,398.29,Move to random point,0
0,2,0,1,188.526,Move to random point,0
0,2,0,1,113.872,Move to random point,0
0,2,0,1,228.591,Move to random point,0
0,2,0,1,280.709,Move to random point,0
0,2,0,1,213.404,Move to random point,0
0,2,0,1,154.924,Change Room,0
2,4,0,0,300.492,Move to random point,0
2,4,0,0,255.782,Move to random point,0
5,4,0,0,302.45,Change Room,0
6,5,0,1,126.879,Move to random point,0
6,5,0,1,151.248,Move to random point,0
5,2,0,1,365.591,Change Room,0
4,6,0,0,302.263,Move to random point,0
5,6,0,1,342.516,Change Room,0
2,2,1,0,11.7072,Reset,1
0,5,0,0,398.097,Move to random point,0
0,5,0,0,429.346,Move to random point,0
0,0,1,0,176.349,Seek,0
0,0,1,0,100.297,Seek,0
0,0,1,0,104.243,Seek,0
5,0,0,0,52.0087,Change Room,0
4,4,1,0,51.596,Seek,0
4,4,1,0,183.347,Seek,0
4,4,1,0,13.598,Reset,1
0,5,0,0,398.291,Move to random point,0
0,5,0,0,436.064,Move to random point,0
0,5,0,0,379.601,Move to random point,0
0,5,0,0,408.288,Move to random point,0
0,2,0,1,319.862,Move to random point,0
0,2,0,1,376.355,Move to random point,0
0,2,0,1,231.155,Change Room,0
4,4,1,0,118.046,Seek,0
0,5,0,0,398.243,Move to random point,0
0,5,0,0,459.719,Move to random point,0
0,5,0,0,403.403,Move to random point,0
0,5,0,0,290.525,Move to random point,0
0,2,0,1,311.277,Move to random point,0
0,2,0,1,200.842,Move to random point,0
2,2,1,0,271.196,Seek,0
0,5,0,0,398.313,Move to random point,0
0,5,0,0,371.833,Move to random point,0
0,5,0,0,309.749,Move to random point,0
0,5,0,0,254.938,Move to random point,0
0,5,0,0,387.082,Move to random point,0
0,2,0,1,354.466,Move to random point,0
0,2,0,1,316.516,Change Room,0
6,4,0,0,463.437,Move to random point,0
6,4,0,0,442.504,Move to random point,0
5,4,0,0,392.954,Change Room,0
0,5,0,0,398.068,Move to random point,0
0,5,0,0,478.808,Move to random point,0
0,5,0,0,415.112,Move to random point,0
0,5,0,0,345.598,Move to random point,0
0,5,0,0,293.021,Move to random point,0
0,2,0,1,468.078,Move to random point,0
0,2,0,1,360.339,Move to random point,0
0,2,0,1,125.776,Change Room,0
2,4,0,0,325.814,Move to random point,0
2,4,0,0,313.375,Change Room,0
1,2,0,1,207.144,Move to random point,0
1,2,0,1,137.594,Move to random point,0
1,2,0,1,211.971,Change Room,0
4,6,0,0,295.291,Move to random point,0
4,6,0,0,196.329,Change Room,0
2,5,0,1,134.817,Move to random point,0
2,5,0,1,250.238,Move to random point,0
2,5,0,1,265.738,Move to random point,0
2,5,0,1,129.097,Change Room,0
5,2,0,1,71.3384,Move to random point,0
6,2,0,0,324.947,Move to random point,0
6,2,0,0,390.39,Move to random point,0
6,2,0,0,360.97,Move to random point,0
6,2,0,0,347.118,Move to random point,0
6,2,0,0,363.004,Change Room,0
5,1,0,0,438.96,Move to random point,0
5,1,0,0,460.871,Move to random point,0
2,1,0,1,246.637,Move to random point,0
2,1,0,1,326.501,Move to random point,0
3,1,0,0,227.233,Move to random point,0
3,1,0,0,154.46,Move to random point,0
3,1,0,0,236.194,Move to random point,0
3,1,0,0,143.219,Change Room,0
5,2,0,1,115.363,Move to random point,0
5,2,0,1,107.525,Move to random point,0
5,2,0,1,158.283,Move to random point,0
6,2,0,0,273.476,Move to random point,0
6,2,0,0,348.658,Move to random point,0
6,2,0,0,369.316,Move to random point,0
